s1,s2,subtask_a,subtask_b,subtask_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#王子健朱闪闪#【孙俪罗晋主演《#安家#》第21-22集！——朱闪闪同学太单纯被人骗到酒店，这“开单”堪称大片上演啊！还好小健健机灵，按响了火警开关才救下闪闪！！小健健对闪闪是真爱啊！】  L新剧不能停的微博视频 ?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0
朱闪闪 单纯,#朱闪闪 单纯# 《安家》中单纯的朱闪闪身穿白雪公主制服到酒店房间谈买房细节，结果遭遇潜规则，幸好王子健一群人及时赶到，才解除了危机。阿乐今日问：看到朱闪闪被骗，大家觉得在#职场上应该要有防备心吗#？ 大家觉得在职场上应该要有防备心吗？ ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#电视剧安家# 朱闪闪是什么绝世单纯白莲花玛丽苏小公举啊正常人的脑回路都没有哪个单位收了她真是倒了八辈子血霉 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,《安家》里面的朱闪闪和《完美关系》里面的江达琳都是傻白甜人设，为啥佟丽娅会被嘲讽甚至连编剧都内涵她演技差，而朱闪闪人设就是单纯呢 真的是演技问题吗？ ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,朱闪闪真的太蠢了 不是单纯是蠢 家境不好还不努力 整天想钓砖石王老五 被骗那里简直侮辱智商了 喊她坐床边去她犹豫一下还真坐过去了 后来坏人放开她了她不赶紧跑 还坐床上抱脚哭 真的看不下去了 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#朱闪闪 单纯#    朱闪闪太单纯了，还好王子健反应快成功找到朱闪闪????   “朱闪闪！朱闪闪~朱闪闪！”   “小建建我在这，我在这呢，小建建救命！”  王子健太聪明了，按响了火警开关救下闪闪，男友力爆啊！！和朱闪闪真的磕到了~不知道他们后面有没有感情线  L扒婆爱吐槽的微博视频 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#安家# #朱闪闪 单纯# 朱闪闪真的太单纯了，以为对方是好人，被人带到酒店买房子差点受欺负，闪闪衣品颜值都在线，就是要多小心了。 ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,朱闪闪是单纯，经历的事儿少，有人告诉她，她听会接受。江达琳也是很多事不懂，但有人告诉她，她就趾高气昂的怼人家，觉得自己能上天！,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#最近的电视剧都好气人#惹人厌排行榜 你希望谁抓紧领盒饭？崔英俊出轨出成精 凭实力当渣男叶东烈幼稚冲动 潘贵雨吸血鬼 张乘乘无脑侠 老洋房里撒泼打滚的老太太 白眼狼儿子 心安理得住房子里的岳母 朱闪闪单纯又没脑子 还有每天让人生气上头从不缺席的江大姐 ?,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱闪闪 单纯,#王子健男友力#所以王子健和朱闪闪竟然有感情线吗？？？ 我觉得985可以与之一战啊！！！ #朱闪闪 单纯# ?,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
